title	authors	journal	year	pmid	pmcid	doi
Adaptive Machine Learning Head Model Across Different Head Impact Types Using Unsupervised Domain Adaptation and Generative Adversarial Networks.	Zhan X, Sun J, Liu Y, Cecchi NJ, Le Flao E, Gevaert O, Zeineh MM, Camarillo DB.	IEEE sensors journal	2024	39897708	PMC11781752	10.1109/jsen.2023.3349213
SOFB is a comprehensive ensemble deep learning approach for elucidating and characterizing protein-nucleic-acid-binding residues.	Zhang B, Hou Z, Yang Y, Wong KC, Zhu H, Li X.	Communications biology	2024	38830995	PMC11148103	10.1038/s42003-024-06332-0
A Random Survival Forest Model for Predicting Residual and Recurrent High-Grade Cervical Intraepithelial Neoplasia in Premenopausal Women.	Zhai F, Mu S, Song Y, Zhang M, Zhang C, Lv Z.	International journal of women's health	2024	39493663	PMC11531712	10.2147/ijwh.s485515
Classification and analysis of outcome predictors in non-critically ill COVID-19 patients.	Venturini S, Orso D, Cugini F, Crapis M, Fossati S, Callegari A, Pellis T, Tonizzo M, Grembiale A, Rosso A, Tamburrini M, D'Andrea N, Vetrugno L, Bove T.	Internal medicine journal	2021	33835685	PMC8250466	10.1111/imj.15140
Improving the accuracy of genomic prediction in dairy cattle using the biologically annotated neural networks framework.	Wang X, Shi S, Ali Khan MY, Zhang Z, Zhang Y.	Journal of animal science and biotechnology	2024	38945998	PMC11215832	10.1186/s40104-024-01044-1
Evaluation of predictive models to determine total morbidity outcome of feedlot cattle based on cohort-level feed delivery data during the first 15 days on feed.	Heinen L, Lancaster PA, White BJ, Zwiefel E.	Translational animal science	2022	36172463	PMC9512095	10.1093/tas/txac121
Application of back propagation neural network model optimized by particle swarm algorithm in predicting the risk of hypertension.	Yan Y, Chen R, Yang Z, Ma Y, Huang J, Luo L, Liu H, Xu J, Chen W, Ding Y, Kong D, Zhang Q, Yu H.	Journal of clinical hypertension (Greenwich, Conn.)	2022	36380516	PMC9731601	10.1111/jch.14597
Using Machine Learning to Predict Remission in Patients With Major Depressive Disorder Treated With Desvenlafaxine.	Benoit JRA, Dursun SM, Greiner R, Cao B, Brown MRG, Lam RW, Greenshaw AJ.	Canadian journal of psychiatry. Revue canadienne de psychiatrie	2022	34379019	PMC8808003	10.1177/07067437211037141
Sex-specific 25-hydroxyvitamin D threshold concentrations for functional outcomes in older adults: PRoject on Optimal VItamin D in Older adults (PROVIDO).	Shardell M, Cappola AR, Guralnik JM, Hicks GE, Kritchevsky SB, Simonsick EM, Ferrucci L, Semba RD, Shaffer NC, Harris T, Eiriksdottir G, Gudnason V, Cotch MF, Orwoll E, Ensrud KE, Cawthon PM.	The American journal of clinical nutrition	2021	33826696	PMC8246604	10.1093/ajcn/nqab025
A Deep Batch Normalized Convolution Approach for Improving COVID-19 Detection from Chest X-ray Images.	Al-Shourbaji I, Kachare PH, Abualigah L, Abdelhag ME, Elnaim B, Anter AM, Gandomi AH.	Pathogens (Basel, Switzerland)	2022	36678365	PMC9860560	10.3390/pathogens12010017
Quantification of Head Shape from Three-Dimensional Photography for Presurgical and Postsurgical Evaluation of Craniosynostosis.	Porras AR, Tu L, Tsering D, Mantilla E, Oh A, Enquobahrie A, Keating R, Rogers GF, Linguraru MG.	Plastic and reconstructive surgery	2019	31764657	PMC6905129	10.1097/prs.0000000000006260
Structure-Based Deep Learning Framework for Modeling Human-Gut Bacterial Protein Interactions.	Kiouri DP, Batsis GC, Chasapis CT.	Proteomes	2025	39982320	PMC11843979	10.3390/proteomes13010010
Smartwatches Can Detect Walker and Cane Use in Older Adults.	Antos SA, Danilovich MK, Eisenstein AR, Gordon KE, Kording KP.	Innovation in aging	2019	31025002	PMC6476414	10.1093/geroni/igz008
Stereo-crossed ablation guided by stereoelectroencephalography for epilepsy: comprehensive coagulations <i>via</i> a network of multi-electrodes.	Wei PH, Fan XT, Wang YH, Lu C, Ou SQ, Meng F, Li MY, Zhang HQ, Chen SC, An Y, Yang YF, Ren LK, Shan YZ, Zhao GG.	Therapeutic advances in neurological disorders	2020	32565913	PMC7285934	10.1177/1756286420928657
Machine Learning Prediction and Experimental Validation of Antigenic Drift in H3 Influenza A Viruses in Swine.	Zeller MA, Gauger PC, Arendsee ZW, Souza CK, Vincent AL, Anderson TK.	mSphere	2021	33731472	PMC8546707	10.1128/msphere.00920-20
Evaluation of Machine Learning Classifiers to Predict Compound Mechanism of Action When Transferred across Distinct Cell Lines.	Warchal SJ, Dawson JC, Carragher NO.	SLAS discovery : advancing life sciences R & D	2019	30694704	PMC6484528	10.1177/2472555218820805
An automatic nuclei segmentation method based on deep convolutional neural networks for histopathology images.	Jung H, Lodhi B, Kang J.	BMC biomedical engineering	2019	32903361	PMC7422516	10.1186/s42490-019-0026-8
Application of Whole-Genome Sequences and Machine Learning in Source Attribution of Salmonella Typhimurium.	Munck N, Njage PMK, Leekitcharoenphon P, Litrup E, Hald T.	Risk analysis : an official publication of the Society for Risk Analysis	2020	32515055	PMC7540586	10.1111/risa.13510
Prediction of extubation failure among low birthweight neonates using machine learning.	Natarajan A, Lam G, Liu J, Beam AL, Beam KS, Levin JC.	Journal of perinatology : official journal of the California Perinatal Association	2023	36611107	PMC10348822	10.1038/s41372-022-01591-3
Deep neural network analyses of spirometry for structural phenotyping of chronic obstructive pulmonary disease.	Bodduluri S, Nakhmani A, Reinhardt JM, Wilson CG, McDonald ML, Rudraraju R, Jaeger BC, Bhakta NR, Castaldi PJ, Sciurba FC, Zhang C, Bangalore PV, Bhatt SP.	JCI insight	2020	32554922	PMC7406302	10.1172/jci.insight.132781
